asset_id,entity_id,asset_name,asset_type,criticality,business_function,monitoring_expected
AST-E003-001,E003,Core Banking Server,endpoint,CRITICAL,,
AST-E003-002,E003,Internet Banking,application,MEDIUM,,
AST-E003-003,E003,Mobile Banking API,endpoint,HIGH,,
AST-E003-004,E003,Customer Database,network_device,HIGH,,
AST-E003-005,E003,Payment Gateway,server,MEDIUM,,
AST-E003-006,E003,SWIFT Gateway,server,MEDIUM,,
AST-E003-007,E003,ATM Network,database,HIGH,,
AST-E003-008,E003,Branch VPN,application,MEDIUM,,
AST-E003-009,E003,SIEM Collector,network_device,CRITICAL,,
AST-E003-010,E003,Identity Server,endpoint,HIGH,,
AST-E003-011,E003,Active Directory,firewall,MEDIUM,,
AST-E003-012,E003,Email Gateway,network_device,HIGH,,
AST-E003-013,E003,Fraud Detection Engine,application,CRITICAL,,
AST-E003-014,E003,Loan Processing App,application,MEDIUM,,
AST-E003-015,E003,Card Processing Server,firewall,MEDIUM,,
AST-E003-016,E003,Data Warehouse,server,MEDIUM,,
AST-E003-017,E003,Backup Server,server,MEDIUM,,
AST-E003-018,E003,API Gateway,endpoint,CRITICAL,,
AST-E003-019,E003,DNS Server,database,CRITICAL,,
AST-E003-020,E003,Web Proxy,database,CRITICAL,,
AST-E003-021,E003,EDR Manager,endpoint,HIGH,,
AST-E003-022,E003,Log Archive,firewall,MEDIUM,,
AST-E003-023,E003,HR Application,firewall,MEDIUM,,
AST-E003-024,E003,Finance Application,network_device,HIGH,,
AST-E003-025,E003,Document Server,firewall,MEDIUM,,
AST-E003-026,E003,Network Core,database,CRITICAL,,
AST-E003-027,E003,Remote Access Gateway,server,CRITICAL,,
AST-E003-028,E003,Customer Portal,firewall,CRITICAL,,
AST-E003-029,E003,Analytics Server,database,CRITICAL,,
AST-E003-030,E003,Security Orchestrator,firewall,MEDIUM,,
