alert_id,entity_id,asset_id,timestamp,severity,category,source,confidence,status,description
E002-A0001,E002,E002-AS027,2026-08-18 00:18:53,CRITICAL,NETWORK_ANOMALY,SIEM,0.86,CLOSED,Abnormal network traffic pattern detected
E002-A0002,E002,E002-AS028,2026-08-18 00:24:16,MEDIUM,MALWARE,EDR,0.64,CLOSED,Malware indicators detected on monitored asset
E002-A0003,E002,E002-AS014,2026-08-18 00:26:46,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.56,CLOSED,Abnormal network traffic pattern detected
E002-A0004,E002,E002-AS021,2026-08-18 00:30:50,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.72,CLOSED,Suspicious login pattern detected
E002-A0005,E002,E002-AS029,2026-08-18 00:33:38,MEDIUM,PHISHING,EMAIL_SECURITY,0.81,CLOSED,Suspicious phishing-related activity identified
E002-A0006,E002,E002-AS006,2026-08-18 00:38:23,HIGH,MALWARE,SIEM,0.82,CLOSED,Malware indicators detected on monitored asset
E002-A0007,E002,E002-AS008,2026-08-18 00:39:19,MEDIUM,PHISHING,EMAIL_SECURITY,0.65,CLOSED,Suspicious phishing-related activity identified
E002-A0008,E002,E002-AS002,2026-08-18 00:47:08,HIGH,SUSPICIOUS_LOGIN,SIEM,0.81,CLOSED,Suspicious login pattern detected
E002-A0009,E002,E002-AS028,2026-08-18 00:54:07,LOW,PHISHING,EMAIL_SECURITY,0.53,CLOSED,Suspicious phishing-related activity identified
E002-A0010,E002,E002-AS004,2026-08-18 01:19:50,HIGH,MALWARE,EDR,0.90,CLOSED,Malware indicators detected on monitored asset
E002-A0011,E002,E002-AS002,2026-08-18 01:37:56,HIGH,PHISHING,EMAIL_SECURITY,0.74,CLOSED,Suspicious phishing-related activity identified
E002-A0012,E002,E002-AS027,2026-08-18 01:46:31,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.54,CLOSED,Abnormal network traffic pattern detected
E002-A0013,E002,E002-AS008,2026-08-18 02:02:56,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.74,CLOSED,Abnormal network traffic pattern detected
E002-A0014,E002,E002-AS011,2026-08-18 02:39:46,LOW,BRUTE_FORCE,SIEM,0.58,CLOSED,Repeated authentication failures exceeded baseline
E002-A0015,E002,E002-AS022,2026-08-18 02:42:28,HIGH,SUSPICIOUS_LOGIN,SIEM,0.80,CLOSED,Suspicious login pattern detected
E002-A0016,E002,E002-AS004,2026-08-18 02:49:19,MEDIUM,MALWARE,EDR,0.74,CLOSED,Malware indicators detected on monitored asset
E002-A0017,E002,E002-AS015,2026-08-18 03:14:04,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.61,CLOSED,Suspicious login pattern detected
E002-A0018,E002,E002-AS009,2026-08-18 04:27:09,MEDIUM,PRIVILEGE_ESCALATION,SIEM,0.79,CLOSED,Unexpected privilege escalation activity observed
E002-A0019,E002,E002-AS005,2026-08-18 04:31:57,HIGH,MALWARE,EDR,0.86,CLOSED,Malware indicators detected on monitored asset
E002-A0020,E002,E002-AS032,2026-08-18 04:45:30,HIGH,PHISHING,EMAIL_SECURITY,0.92,CLOSED,Suspicious phishing-related activity identified
E002-A0021,E002,E002-AS002,2026-08-18 05:00:14,MEDIUM,PHISHING,EMAIL_SECURITY,0.74,CLOSED,Suspicious phishing-related activity identified
E002-A0022,E002,E002-AS030,2026-08-18 05:09:06,MEDIUM,NETWORK_ANOMALY,SIEM,0.69,CLOSED,Abnormal network traffic pattern detected
E002-A0023,E002,E002-AS013,2026-08-18 05:12:09,MEDIUM,RANSOMWARE,EDR,0.74,CLOSED,Ransomware-like file and process activity detected
E002-A0024,E002,E002-AS006,2026-08-18 05:15:35,CRITICAL,BRUTE_FORCE,SIEM,0.98,CLOSED,Repeated authentication failures exceeded baseline
E002-A0025,E002,E002-AS013,2026-08-18 05:50:08,MEDIUM,RANSOMWARE,EDR,0.74,CLOSED,Ransomware-like file and process activity detected
E002-A0026,E002,E002-AS017,2026-08-18 06:03:31,LOW,SUSPICIOUS_LOGIN,IAM,0.66,CLOSED,Suspicious login pattern detected
E002-A0027,E002,E002-AS013,2026-08-20 08:00:00,HIGH,SUSPICIOUS_LOGIN,IAM,0.86,CLOSED,Repeated suspicious privileged login pattern detected
E002-A0028,E002,E002-AS018,2026-08-18 06:43:33,MEDIUM,MALWARE,SIEM,0.71,CLOSED,Malware indicators detected on monitored asset
E002-A0029,E002,E002-AS026,2026-08-18 07:04:52,MEDIUM,RANSOMWARE,EDR,0.77,CLOSED,Ransomware-like file and process activity detected
E002-A0030,E002,E002-AS001,2026-08-18 07:07:27,CRITICAL,SUSPICIOUS_LOGIN,SIEM,0.85,CLOSED,Suspicious login pattern detected
E002-A0031,E002,E002-AS023,2026-08-18 07:15:04,MEDIUM,MALWARE,EDR,0.82,CLOSED,Malware indicators detected on monitored asset
E002-A0032,E002,E002-AS029,2026-08-18 07:23:03,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.53,CLOSED,Abnormal network traffic pattern detected
E002-A0033,E002,E002-AS003,2026-08-18 07:39:55,HIGH,PHISHING,EMAIL_SECURITY,0.94,CLOSED,Suspicious phishing-related activity identified
E002-A0034,E002,E002-AS013,2026-08-18 08:03:09,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.80,CLOSED,Suspicious login pattern detected
E002-A0035,E002,E002-AS013,2026-08-20 15:00:00,HIGH,BRUTE_FORCE,FIREWALL,0.90,CLOSED,Abnormal network traffic pattern detected
E002-A0036,E002,E002-AS032,2026-08-18 08:18:45,MEDIUM,NETWORK_ANOMALY,IDS,0.71,CLOSED,Abnormal network traffic pattern detected
E002-A0037,E002,E002-AS022,2026-08-18 09:21:11,MEDIUM,RANSOMWARE,SIEM,0.76,CLOSED,Ransomware-like file and process activity detected
E002-A0038,E002,E002-AS011,2026-08-18 10:05:44,LOW,MALWARE,SIEM,0.69,CLOSED,Malware indicators detected on monitored asset
E002-A0039,E002,E002-AS018,2026-08-18 10:46:38,HIGH,BRUTE_FORCE,SIEM,0.86,CLOSED,Repeated authentication failures exceeded baseline
