investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
E005-INV0001,E005-C0001,2026-08-01 10:31:00,2026-08-01 12:40:00,AN01,"Reviewed EDR telemetry, process execution blocked.",True,4,True
E005-INV0002,E005-C0002,2026-08-01 12:28:00,2026-08-01 12:57:00,AN03,Isolated host and dumped memory for analysis.,True,7,False
E005-INV0003,E005-C0003,2026-08-01 14:31:00,2026-08-01 16:57:00,AN02,"Reviewed EDR telemetry, process execution blocked.",True,8,True
E005-INV0004,E005-C0004,2026-08-01 16:52:00,2026-08-01 18:23:00,AN04,Analyzed firewall denied connections.,True,9,True
E005-INV0005,E005-C0005,2026-08-01 18:35:00,2026-08-01 20:48:00,AN02,Isolated host and dumped memory for analysis.,True,10,True
E005-INV0007,E005-C0007,2026-08-01 22:45:00,2026-08-02 00:29:00,AN02,"Reviewed EDR telemetry, process execution blocked.",True,4,False
E005-INV0008,E005-C0008,2026-08-02 00:12:00,2026-08-02 01:12:00,AN01,Inspected ICS endpoint baseline.,True,2,True
E005-INV0009,E005-C0009,2026-08-02 02:31:00,2026-08-02 04:01:00,AN05,"Reviewed EDR telemetry, process execution blocked.",True,4,False
E005-INV0010,E005-C0010,2026-08-02 04:29:00,2026-08-02 07:06:00,AN05,Inspected ICS endpoint baseline.,True,3,True
E005-INV0011,E005-C0011,2026-08-02 06:44:00,2026-08-02 07:57:00,AN04,"Reviewed EDR telemetry, process execution blocked.",False,0,True
E005-INV0012,E005-C0012,2026-08-02 08:33:00,2026-08-02 09:24:00,AN04,Verified authentication logs. Legitimate admin login confirmed.,True,6,False
E005-INV0013,E005-C0013,2026-08-02 10:36:00,2026-08-02 12:58:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,5,False
E005-INV0014,E005-C0014,2026-08-02 12:20:00,2026-08-02 14:32:00,AN04,Analyzed firewall denied connections.,True,9,True
E005-INV0015,E005-C0015,2026-08-02 14:39:00,2026-08-02 16:59:00,AN05,Verified authentication logs. Legitimate admin login confirmed.,True,10,True
E005-INV0016,E005-C0016,2026-08-02 16:44:00,2026-08-02 18:38:00,AN04,"Reviewed EDR telemetry, process execution blocked.",True,2,True
E005-INV0017,E005-C0017,2026-08-02 18:56:00,2026-08-02 19:11:00,AN02,Analyzed firewall denied connections.,True,9,False
E005-INV0018,E005-C0018,2026-08-02 20:43:00,2026-08-02 22:13:00,AN05,"Reviewed EDR telemetry, process execution blocked.",True,12,True
E005-INV0019,E005-C0019,2026-08-02 22:54:00,2026-08-03 00:41:00,AN03,Inspected ICS endpoint baseline.,True,1,True
E005-INV0020,E005-C0020,2026-08-03 00:52:00,2026-08-03 01:31:00,AN05,Isolated host and dumped memory for analysis.,True,4,True
E005-INV0021,E005-C0021,2026-08-03 02:30:00,2026-08-03 03:32:00,AN03,Inspected ICS endpoint baseline.,True,3,True
E005-INV0022,E005-C0022,2026-08-03 04:55:00,2026-08-03 06:50:00,AN03,"Reviewed EDR telemetry, process execution blocked.",True,12,True
