investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
E002-INV0002,E002-C0002,2026-08-18 00:54:00,2026-08-18 01:32:20,AN02,"Examined logs from FIREWALL and related security events. The network anomaly alert on E002-AS014 was triaged, investigated, and supporting artefacts were documented.",true,5,true
E002-INV0003,E002-C0003,2026-08-18 00:51:05,2026-08-18 01:07:13,AN01,"Correlated alert with endpoint and network activity for E002-AS021. Analyst reviewed suspicious login indicators, validated the timeline, and recorded supporting evidence.",true,3,false
E002-INV0004,E002-C0004,2026-08-18 00:54:21,2026-08-18 01:28:33,AN02,"Correlated alert with endpoint and network activity for E002-AS029. Analyst reviewed phishing indicators, validated the timeline, and recorded supporting evidence.",true,2,false
E002-INV0005,E002-C0005,2026-08-18 01:05:10,2026-08-18 02:33:25,AN02,"Analyst investigated suspicious login activity using SIEM records. Evidence was reviewed, related events were correlated, and the case outcome was documented.",true,6,false
E002-INV0006,E002-C0006,2026-08-18 01:09:49,2026-08-18 01:29:58,AN03,"Validated the alert against recent activity on E002-AS028. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,3,true
E002-INV0007,E002-C0007,2026-08-18 01:39:00,2026-08-18 02:59:18,AN02,"Validated the alert against recent activity on E002-AS004. Reviewed available EDR events, checked user/process context, and documented investigative evidence.",true,5,true
E002-INV0008,E002-C0008,2026-08-18 01:48:08,2026-08-18 02:40:15,AN01,"Correlated alert with endpoint and network activity for E002-AS002. Analyst reviewed phishing indicators, validated the timeline, and recorded supporting evidence.",true,6,false
E002-INV0009,E002-C0009,2026-08-18 04:42:44,2026-08-18 06:10:59,AN03,"Performed case review for malware on E002-AS005. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,6,false
E002-INV0010,E002-C0010,2026-08-18 04:52:53,2026-08-18 05:38:57,AN06,Reviewed EMAIL_SECURITY telemetry and authentication records. Investigated phishing indicators on E002-AS032. Relevant evidence was collected and documented.,true,5,true
E002-INV0011,E002-C0011,2026-08-18 05:26:04,2026-08-18 05:36:33,AN01,"Validated the alert against recent activity on E002-AS002. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,6,true
E002-INV0012,E002-C0012,2026-08-18 05:41:23,2026-08-18 05:54:29,AN04,"Examined logs from EDR and related security events. The ransomware alert on E002-AS013 was triaged, investigated, and supporting artefacts were documented.",true,2,false
E002-INV0014,E002-C0014,2026-08-18 06:07:33,2026-08-18 06:36:01,AN01,Checked logs and endpoint activity. No additional issue found. Case closed after standard review.,true,6,false
E002-INV0015,E002-C0015,2026-08-20 08:09:00,2026-08-20 08:37:00,AN03,Reviewed IAM authentication records for repeated suspicious login activity on E002-AS013. Account context and source activity were correlated.,true,3,true
E002-INV0016,E002-C0016,2026-08-18 07:22:16,2026-08-18 08:59:50,AN02,Investigation closed with minimal supporting artefacts recorded.,false,0,false
E002-INV0017,E002-C0017,2026-08-18 07:33:32,2026-08-18 08:02:51,AN03,"Validated the alert against recent activity on E002-AS029. Reviewed available FIREWALL events, checked user/process context, and documented investigative evidence.",true,4,true
E002-INV0018,E002-C0018,2026-08-18 07:50:30,2026-08-18 08:21:33,AN06,"Performed case review for phishing on E002-AS003. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,6,false
E002-INV0019,E002-C0019,2026-08-18 08:34:15,2026-08-18 08:44:54,AN05,"Validated the alert against recent activity on E002-AS013. Reviewed available SIEM events, checked user/process context, and documented investigative evidence.",true,3,true
E002-INV0020,E002-C0020,2026-08-20 15:04:00,2026-08-20 15:09:00,AN03,Rapid review completed for brute force alert; limited supporting evidence recorded.,true,1,false
E002-INV0021,E002-C0021,2026-08-18 11:17:10,2026-08-18 12:25:37,AN02,Checked logs and endpoint activity. No additional issue found. Case closed after standard review.,true,5,false
E002-INV0022,E002-C0022,2026-08-20 16:34:00,2026-08-20 16:41:00,AN03,Rapid review completed for malware alert; limited supporting evidence recorded.,true,1,false
E002-INV0023,E002-C0023,2026-08-18 11:53:08,2026-08-18 13:47:42,AN03,"Validated the alert against recent activity on E002-AS024. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,6,true
E002-INV0024,E002-C0024,2026-08-18 13:32:21,2026-08-18 14:25:39,AN01,"Validated the alert against recent activity on E002-AS008. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,6,false
E002-INV0025,E002-C0025,2026-08-18 13:28:57,2026-08-18 13:32:17,AN06,"Examined logs from IAM and related security events. The brute force alert on E002-AS003 was triaged, investigated, and supporting artefacts were documented.",true,2,false
E002-INV0026,E002-C0026,2026-08-18 14:10:07,2026-08-18 14:13:27,AN06,Investigation closed with minimal supporting artefacts recorded.,false,0,true
E002-INV0027,E002-C0027,2026-08-18 14:42:57,2026-08-18 15:07:07,AN04,"Examined logs from IAM and related security events. The suspicious login alert on E002-AS032 was triaged, investigated, and supporting artefacts were documented.",true,5,true
E002-INV0028,E002-C0028,2026-08-18 15:17:12,2026-08-18 16:41:42,AN01,"Performed case review for suspicious login on E002-AS018. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,2,true
E002-INV0029,E002-C0029,2026-08-18 16:26:34,2026-08-18 16:39:54,AN03,"Validated the alert against recent activity on E002-AS030. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,2,true
E002-INV0030,E002-C0030,2026-08-18 17:36:20,2026-08-18 18:42:22,AN05,Reviewed IAM telemetry and authentication records. Investigated suspicious login indicators on E002-AS025. Relevant evidence was collected and documented.,true,6,true
E002-INV0031,E002-C0031,2026-08-18 18:32:04,2026-08-18 19:13:35,AN03,"Performed case review for phishing on E002-AS001. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,2,false
E002-INV0032,E002-C0032,2026-08-20 11:10:00,2026-08-20 11:41:00,AN05,Reviewed IAM authentication records for repeated suspicious login activity on E002-AS013. Account context and source activity were correlated.,true,3,false
E002-INV0033,E002-C0033,2026-08-18 19:44:43,2026-08-18 20:47:06,AN03,"Correlated alert with endpoint and network activity for E002-AS008. Analyst reviewed malware indicators, validated the timeline, and recorded supporting evidence.",true,6,true
E002-INV0034,E002-C0034,2026-08-18 21:14:43,2026-08-18 22:19:45,AN02,"Performed case review for phishing on E002-AS002. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,4,true
E002-INV0035,E002-C0035,2026-08-18 21:27:09,2026-08-18 22:00:16,AN06,"Analyst investigated brute force activity using SIEM records. Evidence was reviewed, related events were correlated, and the case outcome was documented.",true,4,true
E002-INV0036,E002-C0036,2026-08-18 22:42:12,2026-08-18 23:58:40,AN06,"Performed case review for suspicious login on E002-AS006. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,5,false
E002-INV0037,E002-C0037,2026-08-19 00:12:58,2026-08-19 01:27:18,AN06,"Validated the alert against recent activity on E002-AS020. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,6,false
E002-INV0038,E002-C0038,2026-08-19 01:16:36,2026-08-19 03:09:13,AN03,Reviewed EMAIL_SECURITY telemetry and authentication records. Investigated phishing indicators on E002-AS009. Relevant evidence was collected and documented.,true,4,true
E002-INV0039,E002-C0039,2026-08-19 01:36:29,2026-08-19 01:56:51,AN05,"Correlated alert with endpoint and network activity for E002-AS025. Analyst reviewed data exfiltration indicators, validated the timeline, and recorded supporting evidence.",true,5,true
E002-INV0040,E002-C0040,2026-08-19 02:08:30,2026-08-19 03:21:47,AN03,"Validated the alert against recent activity on E002-AS004. Reviewed available IDS events, checked user/process context, and documented investigative evidence.",true,5,true
E002-INV0041,E002-C0041,2026-08-20 14:11:00,2026-08-20 14:45:00,AN04,Reviewed IAM authentication records for repeated suspicious login activity on E002-AS013. Account context and source activity were correlated.,true,3,true
E002-INV0042,E002-C0042,2026-08-19 02:18:32,2026-08-19 02:50:37,AN06,"Performed case review for brute force on E002-AS029. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,3,true
E002-INV0043,E002-C0043,2026-08-19 03:21:39,2026-08-19 04:35:16,AN03,"Correlated alert with endpoint and network activity for E002-AS008. Analyst reviewed malware indicators, validated the timeline, and recorded supporting evidence.",true,3,false
E002-INV0044,E002-C0044,2026-08-19 03:40:42,2026-08-19 04:00:21,AN02,Checked logs and endpoint records. No additional issue found. Case closed after standard review.,true,4,true
E002-INV0045,E002-C0045,2026-08-19 04:36:45,2026-08-19 04:49:14,AN04,"Correlated alert with endpoint and network activity for E002-AS027. Analyst reviewed ransomware indicators, validated the timeline, and recorded supporting evidence.",true,6,true
E002-INV0046,E002-C0046,2026-08-19 04:28:17,2026-08-19 05:00:50,AN04,Reviewed SIEM telemetry and authentication records. Investigated brute force indicators on E002-AS017. Relevant evidence was collected and documented.,true,2,true
E002-INV0047,E002-C0047,2026-08-19 04:37:09,2026-08-19 05:32:30,AN02,"Examined logs from IAM and related security events. The suspicious login alert on E002-AS002 was triaged, investigated, and supporting artefacts were documented.",true,2,true
E002-INV0048,E002-C0048,2026-08-19 05:10:25,2026-08-19 05:54:46,AN05,"Analyst investigated network anomaly activity using FIREWALL records. Evidence was reviewed, related events were correlated, and the case outcome was documented.",true,2,true
E002-INV0049,E002-C0049,2026-08-19 06:34:17,2026-08-19 07:30:48,AN03,"Analyst investigated suspicious login activity using IAM records. Evidence was reviewed, related events were correlated, and the case outcome was documented.",true,3,true
E002-INV0050,E002-C0050,2026-08-19 06:26:20,2026-08-19 07:01:47,AN01,Reviewed SIEM telemetry and authentication records. Investigated ransomware indicators on E002-AS017. Relevant evidence was collected and documented.,true,2,false
E002-INV0051,E002-C0051,2026-08-19 06:47:45,2026-08-19 06:58:22,AN06,"Performed case review for ransomware on E002-AS023. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,3,true
E002-INV0052,E002-C0052,2026-08-20 18:49:00,2026-08-20 18:56:00,AN01,Rapid review completed for malware alert; limited supporting evidence recorded.,true,1,false
E002-INV0053,E002-C0053,2026-08-19 07:00:28,2026-08-19 07:28:38,AN01,"Performed case review for brute force on E002-AS019. Correlated surrounding events, checked account/process activity, and recorded findings for supervisory traceability.",true,2,true
E002-INV0054,E002-C0054,2026-08-19 07:19:27,2026-08-19 07:45:58,AN06,Reviewed EMAIL_SECURITY telemetry and authentication records. Investigated phishing indicators on E002-AS024. Relevant evidence was collected and documented.,true,6,false
E002-INV0055,E002-C0055,2026-08-19 08:37:58,2026-08-19 09:31:27,AN03,"Correlated alert with endpoint and network activity for E002-AS019. Analyst reviewed malware indicators, validated the timeline, and recorded supporting evidence.",true,6,false
E002-INV0056,E002-C0056,2026-08-19 08:58:27,2026-08-19 09:39:45,AN01,Reviewed SIEM telemetry and authentication records. Investigated privilege escalation indicators on E002-AS030. Relevant evidence was collected and documented.,true,5,true
E002-INV0057,E002-C0057,2026-08-19 09:41:50,2026-08-19 10:22:53,AN05,"Analyst investigated malware activity using SIEM records. Evidence was reviewed, related events were correlated, and the case outcome was documented.",true,5,true
E002-INV0058,E002-C0058,2026-08-19 10:07:10,2026-08-19 10:43:46,AN02,"Validated the alert against recent activity on E002-AS018. Reviewed available SIEM events, checked user/process context, and documented investigative evidence.",true,2,false
E002-INV0059,E002-C0059,2026-08-19 10:21:29,2026-08-19 11:00:08,AN04,"Correlated alert with endpoint and network activity for E002-AS032. Analyst reviewed brute force indicators, validated the timeline, and recorded supporting evidence.",true,6,true
E002-INV0060,E002-C0060,2026-08-19 10:34:15,2026-08-19 11:46:40,AN05,"Validated the alert against recent activity on E002-AS029. Reviewed available SIEM events, checked user/process context, and documented investigative evidence.",true,6,true
E002-INV0061,E002-C0061,2026-08-19 11:48:07,2026-08-19 12:15:17,AN05,"Examined logs from EMAIL_SECURITY and related security events. The phishing alert on E002-AS003 was triaged, investigated, and supporting artefacts were documented.",true,2,true
E002-INV0062,E002-C0062,2026-08-19 12:18:53,2026-08-19 13:28:05,AN01,"Examined logs from FIREWALL and related security events. The network anomaly alert on E002-AS023 was triaged, investigated, and supporting artefacts were documented.",true,2,true
E002-INV0063,E002-C0063,2026-08-19 12:15:21,2026-08-19 14:03:32,AN01,"Validated the alert against recent activity on E002-AS028. Reviewed available EMAIL_SECURITY events, checked user/process context, and documented investigative evidence.",true,4,true
E002-INV0064,E002-C0064,2026-08-19 13:26:03,2026-08-19 14:08:18,AN05,"Validated the alert against recent activity on E002-AS008. Reviewed available IAM events, checked user/process context, and documented investigative evidence.",true,3,true
