investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
E004-INV0001,E004-C0004,2026-08-02 18:22:54,2026-08-02 18:32:54,AN01,Correlated SIEM records with network sensor data. Reviewed affected asset activity and documented containment actions.,True,6,True
E004-INV0002,E004-C0005,2026-08-03 07:54:06,2026-08-03 08:22:06,AN03,Reviewed firewall logs and endpoint telemetry. Investigated the alert timeline and checked related authentication events.,True,2,True
E004-INV0003,E004-C0008,2026-08-04 11:48:17,2026-08-04 13:04:17,AN04,Correlated SIEM records with network sensor data. Reviewed affected asset activity and documented containment actions.,False,0,True
E004-INV0004,E004-C0009,2026-08-04 14:08:50,2026-08-04 14:49:50,AN06,Correlated SIEM records with network sensor data. Reviewed affected asset activity and documented containment actions.,False,0,True
E004-INV0005,E004-C0010,2026-08-05 23:44:32,2026-08-05 23:55:32,AN07,Reviewed SIEM and network telemetry. Correlated authentication events and documented the observed activity.,True,6,True
E004-INV0006,E004-C0011,2026-08-05 23:52:34,2026-08-06 00:28:34,AN06,"Checked IAM events, system logs and recent configuration changes. No additional related indicators were observed.",False,0,True
E004-INV0007,E004-C0012,2026-08-06 01:20:46,2026-08-06 01:27:46,AN03,Reviewed firewall logs and endpoint telemetry. Investigated the alert timeline and checked related authentication events.,True,4,True
E004-INV0008,E004-C0013,2026-08-06 03:50:22,2026-08-06 04:40:22,AN08,Reviewed firewall logs and endpoint telemetry. Investigated the alert timeline and checked related authentication events.,False,0,True
E004-INV0009,E004-C0014,2026-08-06 13:14:36,2026-08-06 13:41:36,AN06,Correlated SIEM records with network sensor data. Reviewed affected asset activity and documented containment actions.,False,0,True
E004-INV0010,E004-C0015,2026-08-06 19:34:42,2026-08-06 19:35:42,AN08,Reviewed network flow records and security alerts. Validated the activity against recent asset behaviour.,False,0,False
E004-INV0011,E004-C0016,2026-08-06 22:57:46,2026-08-06 23:17:46,AN04,Reviewed firewall logs and endpoint telemetry. Investigated the alert timeline and checked related authentication events.,True,2,True
E004-INV0012,E004-C0017,2026-08-07 01:09:47,2026-08-07 01:10:47,AN01,"Checked IAM events, system logs and recent configuration changes. No additional related indicators were observed.",False,0,False
E004-INV0013,E004-C0018,2026-08-07 03:18:36,2026-08-07 04:37:36,AN04,"Checked IAM events, system logs and recent configuration changes. No additional related indicators were observed.",False,0,False
E004-INV0014,E004-C0019,2026-08-07 08:29:33,2026-08-07 08:30:33,AN05,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,3,True
E004-INV0015,E004-C0020,2026-08-07 10:43:24,2026-08-07 11:05:24,AN08,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,5,True
E004-INV0016,E004-C0021,2026-08-07 21:09:08,2026-08-07 21:25:08,AN03,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,3,False
E004-INV0017,E004-C0022,2026-08-08 05:15:35,2026-08-08 05:51:35,AN08,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,4,False
E004-INV0018,E004-C0023,2026-08-08 06:35:22,2026-08-08 06:52:22,AN02,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,5,False
E004-INV0019,E004-C0024,2026-08-08 13:17:41,2026-08-08 15:20:41,AN03,Checked logs. No issue found. Checked logs. No issue found. Checked logs. No issue found.,True,6,True
E004-INV0020,E004-C0025,2026-08-09 00:18:56,2026-08-09 01:18:56,AN07,Reviewed SIEM and network telemetry. Correlated authentication events and documented the observed activity.,True,5,True
E004-INV0021,E004-C0026,2026-08-09 04:11:07,2026-08-09 07:09:07,AN06,"Checked IAM events, system logs and recent configuration changes. No additional related indicators were observed.",True,4,False
